"Yazar", "Alıntı"
"Thomas Edison", "Deha yüzde bir ilham ve yüzde doksan dokuz terlemedir."
"Yogi Berra", "Sadece izleyerek çok şey gözlemleyebilirsiniz."
"Abraham Lincoln", "Kendine karşı bölünmüş bir ev ayakta duramaz."
"Johann Wolfgang von Goethe", "Hedefe yaklaştıkça zorluklar artar."
"Byron Pulsifer", "Kader sizin elinizdedir, başkasının değil"
"Lao Tzu", "Şef ol ama asla efendi olma."
"Carl Sandburg", "Önce hayal etmezsek hiçbir şey olmaz."
"Aristotle", "İyi başlayan işin yarısı bitmiştir."
"Yogi Berra", "Hayat bir öğrenme deneyimidir, eğer öğrenirsen."
"Margaret Sangster", "Kendini beğenmişlik ilerleme için ölümcüldür."
"Buddha", "Huzur içten gelir. Onu dışarıda aramayın."
"Byron Pulsifer", "Ne verirsen onu alırsın."
"Iris Murdoch", "Sevmeyi ancak severek öğrenebiliriz."
"Karen Clark", "Hayat değişimdir. Büyüme isteğe bağlıdır. Akıllıca seçin."
"Wayne Dyer", "İnandığın zaman göreceksin."
"", "Bugün, dün için endişelendiğimiz yarındır.""
"", "Başkasının kağıdındaki hataları görmek daha kolaydır.""
"", "Her insan ölür. Her insan gerçekten yaşamaz."
"Lao Tzu", "İnsanlara önderlik etmek için arkalarından yürü."
"William Shakespeare", "Hiçbir şeyi olmayan, hiçbir şey kaybedemez."
"Henry J. Kaiser", "Bela sadece iş elbisesi içindeki fırsattır."
"Publilius Syrus", "Yuvarlanan taş yosun tutmaz."
"Napoleon Hill", "Fikirler tüm servetlerin başlangıç noktasıdır."
"Donald Trump", "Hayatta her şey şanstır."
"Lao Tzu", "Hiçbir şey yapmamak, hiçbir şey yapmamakla meşgul olmaktan daha iyidir."
"Benjamin Spock", "Kendinize güvenin. Düşündüğünüzden daha fazlasını biliyorsunuz."
"Konfüçyüs", "Geleceği görmek istiyorsan, geçmişi öğren."
"Gün zaten kutsanmıştır, içinde huzur bul."
"Sigmund Freud", "Hatadan hataya, insan tüm gerçeği keşfeder."
"Benjamin Franklin", "İyi yapılan, iyi söylenenden daha iyidir."
"Ella Williams", "Çiğneyebileceğinden fazlasını ısır, sonra çiğne."
"Buddha", "Kendi kurtuluşun için çalış. Başkalarına bağımlı olma."
"Benjamin Franklin", "Bir bugün, iki yarına bedeldir."
"Christopher Reeve", "Bir kez umudu seçersen, her şey mümkündür."
"Albert Einstein", "Tanrı her zaman en basit yolu seçer."
"Charles Kettering", "Biri başarıya doğru başarısız olur."
"", "Küçük başlangıçlardan büyük şeyler doğar."
"Çin atasözü", "Öğrenmek, sahibini her yerde takip edecek bir hazinedir"
"Sokrates", "Görünmek istediğin gibi ol."
"V. Naipaul", "Dünya her zaman hareket halindedir."
"John Wooden", "Aktiviteyi asla başarı ile karıştırmayın."
"Haddon Robinson", "Seni endişelendiren şey, sana hakim olur."
"Pearl Buck", "İnsan geçmişiyle geleceğe bakar."
"Brian Tracy", "Hedefler, başarı ocağının yakıtıdır."
"Leonardo da Vinci", "Erdem eken onur biçer."
